provider_id,provider_name,specialty,network_status,last_verified_date,accepting_patients,address,phone
PRV000031,Dr. Patricia Jackson MD,Orthopedics,Pending Verification,2025-09-28 20:58:45.940947,False,"3795 Oak St, Atlanta, MN 55975",(538) 233-1929
PRV000032,Dr. Robert Thomas MD,Primary Care,In-Network,2025-05-31 12:38:44.940947,False,"7777 Cedar St, Boston, MN 55367",(396) 834-2176
PRV000033,Dr. Linda Thomas MD,Cardiology,In-Network,2025-05-27 02:33:34.940947,True,"8012 Park St, Atlanta, MN 55657",(671) 724-3688
PRV000034,Dr. Michael Jackson MD,Cardiology,In-Network,2025-08-16 13:05:08.940947,True,"7334 Cedar St, Boston, MN 55643",(831) 786-9437
PRV000035,Dr. James Thomas MD,Oncology,In-Network,2025-05-15 09:56:32.940947,False,"4722 Main St, Denver, MN 55974",(422) 391-9322
PRV000036,Dr. William Garcia MD,Pediatrics,In-Network,2025-10-15 06:53:32.940947,False,"2422 Maple St, Denver, MN 55953",(493) 234-5607
PRV000037,Dr. James Martin MD,Oncology,Pending Verification,2025-08-22 13:56:02.940947,False,"299 Cedar St, Boston, MN 55090",(570) 661-5199
PRV000038,Dr. Sarah Anderson MD,Dermatology,In-Network,2025-07-22 01:38:34.940947,True,"2297 Oak St, Minneapolis, MN 55555",(878) 358-2097
PRV000039,Dr. Sarah Thompson MD,Oncology,Pending Verification,2025-06-13 06:26:43.940947,True,"4039 Oak St, Atlanta, MN 55047",(349) 950-6532
PRV000040,Dr. Linda Jackson MD,Psychiatry,In-Network,2025-08-19 15:00:51.940947,True,"7938 Park St, Denver, MN 55931",(629) 792-1165
PRV000041,Dr. Michael Thompson MD,Orthopedics,Out-of-Network,2025-10-04 16:09:39.940947,False,"4545 Main St, Minneapolis, MN 55742",(750) 283-9703
PRV000042,Dr. Robert Harris MD,Primary Care,In-Network,2025-08-03 06:43:40.940947,False,"1851 Maple St, Atlanta, MN 55988",(570) 393-3394
PRV000043,Dr. William Jackson MD,Dermatology,In-Network,2025-06-05 19:48:47.940947,True,"4728 Park St, Chicago, MN 55467",(224) 485-4326
PRV000044,Dr. William Jackson MD,Internal Medicine,Out-of-Network,2025-09-22 05:44:47.940947,True,"6257 Cedar St, Atlanta, MN 55443",(816) 417-3071
PRV000045,Dr. Sarah Thomas MD,Orthopedics,In-Network,2025-06-14 07:42:15.940947,False,"7965 Cedar St, Denver, MN 55363",(927) 981-8250
PRV000046,Dr. Patricia Thomas MD,Endocrinology,In-Network,2025-05-10 14:38:56.940947,True,"4959 Park St, Phoenix, MN 55285",(477) 853-2643
PRV000047,Dr. Robert Jackson MD,Psychiatry,In-Network,2025-07-24 14:30:38.940947,True,"5499 Main St, Denver, MN 55207",(952) 220-5803
PRV000048,Dr. William Jackson MD,Cardiology,In-Network,2025-09-10 10:25:42.940947,True,"2763 Main St, Minneapolis, MN 55226",(512) 490-3969
PRV000049,Dr. Patricia Thomas MD,Endocrinology,In-Network,2025-06-20 08:28:53.940947,True,"7833 Oak St, Denver, MN 55834",(488) 439-7647
PRV000050,Dr. Robert Martin MD,Pediatrics,In-Network,2025-08-31 17:27:10.940947,False,"8647 Maple St, Atlanta, MN 55690",(768) 242-3805
PRV000051,Dr. Linda Harris MD,Endocrinology,In-Network,2025-06-21 04:18:54.940947,True,"5135 Cedar St, Boston, MN 55376",(229) 960-2834
PRV000052,Dr. Michael Thompson MD,Cardiology,Pending Verification,2025-09-16 19:27:05.940947,False,"1293 Main St, Boston, MN 55614",(868) 465-7163
PRV000053,Dr. William White MD,Psychiatry,In-Network,2025-08-16 17:23:27.940947,False,"4193 Oak St, Seattle, MN 55552",(320) 475-4091
PRV000054,Dr. Sarah Martin MD,Oncology,In-Network,2025-08-25 09:03:46.940947,False,"7763 Park St, Chicago, MN 55970",(665) 721-3910
PRV000055,Dr. Patricia White MD,Orthopedics,In-Network,2025-08-21 09:28:47.940947,True,"8251 Maple St, Seattle, MN 55538",(975) 678-3545
PRV000056,Dr. Linda Garcia MD,Orthopedics,In-Network,2025-08-05 12:22:37.940947,True,"3683 Maple St, Minneapolis, MN 55916",(815) 433-9449
PRV000057,Dr. William Thompson MD,Psychiatry,In-Network,2025-07-08 12:06:23.940947,True,"4231 Oak St, Phoenix, MN 55407",(434) 872-8415
PRV000058,Dr. Jennifer Jackson MD,Cardiology,In-Network,2025-09-17 01:55:28.940947,True,"8674 Park St, Phoenix, MN 55753",(480) 428-4076
PRV000059,Dr. Patricia Jackson MD,Oncology,Pending Verification,2025-06-09 01:03:41.940947,True,"283 Oak St, Atlanta, MN 55510",(669) 793-6341
PRV000060,Dr. Linda Anderson MD,Psychiatry,In-Network,2025-10-21 11:19:55.940947,False,"2796 Maple St, Boston, MN 55753",(662) 422-1422
PRV000061,Dr. William Jackson MD,Primary Care,Pending Verification,2025-07-16 13:21:46.940947,True,"7013 Park St, Dallas, MN 55215",(205) 642-2279
PRV000062,Dr. Patricia Thompson MD,Primary Care,In-Network,2025-05-29 18:16:18.940947,True,"9827 Maple St, Seattle, MN 55186",(521) 446-7266
PRV000063,Dr. Patricia Thomas MD,Psychiatry,Out-of-Network,2025-05-26 13:53:37.940947,True,"4520 Main St, Phoenix, MN 55404",(229) 440-6507
PRV000064,Dr. Robert Anderson MD,Cardiology,In-Network,2025-06-23 14:16:51.940947,False,"2292 Oak St, Denver, MN 55623",(905) 556-9210
PRV000065,Dr. Sarah White MD,Neurology,Pending Verification,2025-05-12 07:51:39.940947,True,"1819 Park St, Phoenix, MN 55240",(620) 707-8858
PRV000066,Dr. Robert Harris MD,Primary Care,In-Network,2025-07-02 07:27:03.940947,True,"6368 Maple St, Phoenix, MN 55210",(653) 365-8338
PRV000067,Dr. Jennifer Garcia MD,Internal Medicine,Pending Verification,2025-09-22 22:32:53.940947,False,"5565 Cedar St, Chicago, MN 55713",(997) 662-8449
PRV000068,Dr. Linda White MD,Primary Care,In-Network,2025-10-02 12:44:01.940947,True,"8707 Cedar St, Atlanta, MN 55189",(535) 261-2843
PRV000069,Dr. Michael Anderson MD,Pediatrics,In-Network,2025-08-13 13:59:25.940947,True,"5194 Cedar St, Boston, MN 55491",(850) 943-4338
PRV000070,Dr. William Garcia MD,Pediatrics,Out-of-Network,2025-05-21 02:11:23.940947,True,"7745 Maple St, Phoenix, MN 55248",(724) 465-3363
PRV000071,Dr. Jennifer Thompson MD,Endocrinology,In-Network,2025-10-15 23:00:11.940947,True,"5425 Oak St, Denver, MN 55670",(286) 669-7581
PRV000072,Dr. Patricia Thompson MD,Internal Medicine,In-Network,2025-10-19 00:25:04.940947,True,"1663 Maple St, Denver, MN 55998",(802) 781-6962
PRV000073,Dr. Michael Martin MD,Oncology,In-Network,2025-10-06 23:18:24.940947,True,"2093 Main St, Denver, MN 55520",(499) 973-8170
PRV000074,Dr. Michael Garcia MD,Neurology,In-Network,2025-09-19 09:06:47.940947,True,"3643 Maple St, Phoenix, MN 55886",(713) 963-4253
PRV000075,Dr. Robert Jackson MD,Dermatology,Pending Verification,2025-10-23 23:50:18.940947,True,"4413 Main St, Boston, MN 55093",(595) 707-9168
PRV000076,Dr. Sarah Thompson MD,Neurology,In-Network,2025-09-17 12:31:45.940947,True,"1497 Main St, Denver, MN 55261",(937) 860-7604
PRV000077,Dr. Michael Garcia MD,Endocrinology,Out-of-Network,2025-05-21 03:51:52.940947,True,"3796 Cedar St, Dallas, MN 55699",(596) 455-3413
PRV000078,Dr. Patricia White MD,Dermatology,Out-of-Network,2025-05-20 10:14:38.940947,True,"100 Park St, Denver, MN 55585",(253) 233-9094
PRV000079,Dr. Patricia Garcia MD,Oncology,Out-of-Network,2025-06-14 21:18:04.940947,False,"5526 Park St, Denver, MN 55626",(983) 225-8967
PRV000080,Dr. James Harris MD,Endocrinology,In-Network,2025-07-07 00:08:13.940947,True,"6161 Main St, Minneapolis, MN 55772",(728) 356-8891
PRV000081,Dr. Sarah Jackson MD,Psychiatry,In-Network,2025-06-02 01:34:30.940947,False,"6380 Maple St, Atlanta, MN 55939",(919) 828-4403
PRV000082,Dr. Jennifer White MD,Dermatology,Pending Verification,2025-10-08 20:58:38.940947,True,"5973 Oak St, Seattle, MN 55414",(242) 441-5881
PRV000083,Dr. Sarah Harris MD,Psychiatry,In-Network,2025-08-08 19:48:42.940947,False,"5471 Oak St, Atlanta, MN 55840",(430) 647-8256
PRV000084,Dr. Linda Garcia MD,Pediatrics,Pending Verification,2025-05-06 13:18:06.940947,True,"4350 Maple St, Seattle, MN 55701",(561) 258-7502
PRV000085,Dr. James Garcia MD,Endocrinology,In-Network,2025-07-03 21:26:01.940947,True,"1320 Cedar St, Dallas, MN 55119",(701) 431-4706
PRV000086,Dr. Sarah White MD,Pediatrics,In-Network,2025-06-16 05:15:59.940947,True,"9157 Cedar St, Phoenix, MN 55211",(880) 841-5308
PRV000087,Dr. Linda Harris MD,Orthopedics,Out-of-Network,2025-10-22 01:21:55.940947,True,"8568 Park St, Denver, MN 55065",(353) 918-6024
PRV000088,Dr. Robert Martin MD,Pediatrics,Pending Verification,2025-06-23 20:43:49.940947,True,"6546 Oak St, Denver, MN 55426",(780) 752-6702
PRV000089,Dr. William Thompson MD,Internal Medicine,In-Network,2025-05-20 08:13:10.940947,True,"6208 Park St, Minneapolis, MN 55280",(430) 974-9577
PRV000090,Dr. Jennifer Thompson MD,Internal Medicine,Pending Verification,2025-09-13 03:37:53.940947,False,"8745 Oak St, Phoenix, MN 55171",(529) 906-8643
PRV000091,Dr. Sarah Martin MD,Pediatrics,Out-of-Network,2025-10-10 12:10:01.940947,False,"9998 Oak St, Phoenix, MN 55208",(847) 343-1112
PRV000092,Dr. William Thomas MD,Internal Medicine,Pending Verification,2025-09-28 21:30:59.940947,True,"5601 Main St, Phoenix, MN 55330",(987) 349-4080
PRV000093,Dr. Sarah Martin MD,Primary Care,In-Network,2025-08-29 12:02:43.940947,False,"2587 Main St, Dallas, MN 55428",(933) 676-8164
PRV000094,Dr. Michael Thompson MD,Neurology,In-Network,2025-09-21 03:26:14.940947,True,"6938 Cedar St, Atlanta, MN 55558",(347) 778-5533
PRV000095,Dr. James Jackson MD,Pediatrics,Pending Verification,2025-10-08 21:56:46.940947,True,"3051 Maple St, Dallas, MN 55003",(482) 247-8192
PRV000096,Dr. Sarah Thomas MD,Pediatrics,Pending Verification,2025-05-08 07:12:59.940947,True,"5466 Oak St, Denver, MN 55078",(898) 453-9565
PRV000097,Dr. Jennifer Jackson MD,Neurology,In-Network,2025-09-05 12:57:53.940947,True,"7182 Main St, Seattle, MN 55558",(796) 523-7636
PRV000098,Dr. Patricia Jackson MD,Cardiology,In-Network,2025-08-31 15:23:08.940947,False,"8134 Oak St, Dallas, MN 55864",(241) 453-2388
PRV000099,Dr. James Jackson MD,Dermatology,In-Network,2025-07-22 02:14:52.940947,False,"4059 Cedar St, Atlanta, MN 55684",(506) 455-6347
PRV000100,Dr. Jennifer Anderson MD,Cardiology,In-Network,2025-10-16 08:27:59.940947,True,"8905 Oak St, Atlanta, MN 55011",(374) 272-1397
PRV000101,Dr. Robert Anderson MD,Psychiatry,In-Network,2025-06-20 04:16:40.940947,True,"3335 Main St, Dallas, MN 55496",(621) 274-7000
PRV000102,Dr. Robert Martin MD,Dermatology,In-Network,2025-05-17 04:30:17.940947,True,"3744 Park St, Atlanta, MN 55303",(540) 413-7471
PRV000103,Dr. Sarah Martin MD,Cardiology,Pending Verification,2025-08-27 03:42:39.940947,False,"1186 Maple St, Dallas, MN 55657",(998) 733-1695
PRV000104,Dr. Michael Garcia MD,Internal Medicine,In-Network,2025-07-12 09:25:39.940947,True,"2821 Cedar St, Boston, MN 55420",(953) 424-6198
PRV000105,Dr. Jennifer Thompson MD,Internal Medicine,In-Network,2025-10-10 02:53:45.940947,True,"8574 Oak St, Atlanta, MN 55679",(456) 343-1223
PRV000106,Dr. Sarah Anderson MD,Endocrinology,In-Network,2025-05-05 13:21:37.940947,True,"7963 Oak St, Minneapolis, MN 55758",(666) 877-8178
PRV000107,Dr. William Garcia MD,Cardiology,In-Network,2025-05-23 21:10:11.940947,False,"9500 Cedar St, Chicago, MN 55388",(215) 425-2549
PRV000108,Dr. Robert Anderson MD,Neurology,In-Network,2025-07-10 21:13:25.940947,True,"9245 Maple St, Dallas, MN 55070",(502) 892-1312
PRV000109,Dr. Robert Harris MD,Orthopedics,In-Network,2025-09-21 20:46:40.940947,False,"6243 Cedar St, Chicago, MN 55876",(520) 860-2339
PRV000110,Dr. Michael Anderson MD,Internal Medicine,Out-of-Network,2025-06-26 04:45:46.940947,False,"3444 Oak St, Denver, MN 55737",(274) 311-7360
PRV000111,Dr. Robert Martin MD,Primary Care,Out-of-Network,2025-10-14 02:27:07.940947,True,"6958 Oak St, Chicago, MN 55125",(658) 809-4281
PRV000112,Dr. Sarah Thompson MD,Oncology,Pending Verification,2025-06-23 13:47:06.940947,True,"7091 Park St, Minneapolis, MN 55165",(272) 214-7794
PRV000113,Dr. Michael Jackson MD,Neurology,Pending Verification,2025-05-12 19:58:27.940947,True,"8677 Oak St, Chicago, MN 55305",(873) 754-6686
PRV000114,Dr. Michael Anderson MD,Endocrinology,In-Network,2025-07-16 02:36:36.940947,True,"4502 Park St, Denver, MN 55409",(318) 757-5249
PRV000115,Dr. James Jackson MD,Orthopedics,In-Network,2025-09-30 23:24:21.940947,False,"9261 Park St, Phoenix, MN 55873",(309) 540-3756
PRV000116,Dr. Patricia Thompson MD,Cardiology,In-Network,2025-07-02 03:23:42.940947,True,"7791 Oak St, Boston, MN 55565",(893) 659-6738
PRV000117,Dr. Robert White MD,Internal Medicine,In-Network,2025-09-21 12:02:24.940947,False,"7291 Maple St, Minneapolis, MN 55502",(922) 821-2187
PRV000118,Dr. Robert Anderson MD,Internal Medicine,Out-of-Network,2025-08-24 05:28:08.940947,True,"4315 Oak St, Atlanta, MN 55922",(790) 204-1648
PRV000119,Dr. James Garcia MD,Pediatrics,Out-of-Network,2025-06-05 17:32:41.940947,True,"3483 Oak St, Phoenix, MN 55742",(607) 854-4030
PRV000120,Dr. Michael Anderson MD,Dermatology,In-Network,2025-08-04 06:31:51.940947,True,"3505 Park St, Denver, MN 55796",(622) 838-4205
PRV000121,Dr. Michael Jackson MD,Endocrinology,Out-of-Network,2025-08-21 07:14:02.940947,False,"2021 Oak St, Atlanta, MN 55088",(610) 722-9567
PRV000122,Dr. William Harris MD,Primary Care,In-Network,2025-09-11 17:28:15.940947,True,"9968 Main St, Chicago, MN 55787",(554) 927-9057
PRV000123,Dr. James Thompson MD,Primary Care,In-Network,2025-05-27 11:46:02.940947,False,"5191 Maple St, Dallas, MN 55418",(241) 896-5776
PRV000124,Dr. William Martin MD,Pediatrics,In-Network,2025-08-02 13:43:32.940947,False,"4805 Oak St, Boston, MN 55220",(505) 217-6881
PRV000125,Dr. James Anderson MD,Endocrinology,Pending Verification,2025-09-30 08:21:27.940947,True,"9147 Maple St, Minneapolis, MN 55935",(284) 268-9437
PRV000126,Dr. James Jackson MD,Endocrinology,In-Network,2025-06-08 22:12:33.940947,False,"7868 Cedar St, Boston, MN 55718",(877) 781-4581
PRV000127,Dr. Linda Harris MD,Dermatology,In-Network,2025-06-27 11:39:28.940947,True,"4519 Maple St, Denver, MN 55270",(569) 557-4644
PRV000128,Dr. Michael Thompson MD,Orthopedics,In-Network,2025-05-11 20:05:32.940947,True,"6826 Maple St, Dallas, MN 55274",(837) 908-1237
PRV000129,Dr. Patricia Martin MD,Orthopedics,In-Network,2025-07-04 03:22:05.940947,True,"8157 Oak St, Chicago, MN 55556",(783) 422-6527
PRV000130,Dr. Linda Thomas MD,Internal Medicine,Pending Verification,2025-09-18 01:59:14.940947,False,"7428 Park St, Dallas, MN 55643",(827) 462-1456
PRV000131,Dr. Robert Thompson MD,Cardiology,In-Network,2025-10-21 09:22:07.940947,False,"5823 Oak St, Dallas, MN 55160",(369) 760-2711
PRV000132,Dr. Michael White MD,Internal Medicine,Out-of-Network,2025-06-16 00:10:47.940947,True,"5901 Oak St, Boston, MN 55319",(650) 783-2524
PRV000133,Dr. William Garcia MD,Dermatology,In-Network,2025-05-05 08:10:02.940947,True,"837 Maple St, Minneapolis, MN 55738",(388) 686-2941
PRV000134,Dr. Michael Harris MD,Orthopedics,Pending Verification,2025-10-04 06:18:53.940947,True,"1260 Park St, Chicago, MN 55425",(223) 328-1938
PRV000135,Dr. Sarah Jackson MD,Oncology,In-Network,2025-06-16 22:23:45.940947,False,"210 Oak St, Seattle, MN 55219",(958) 846-1429
PRV000136,Dr. Michael Harris MD,Cardiology,In-Network,2025-05-07 13:20:31.940947,True,"7059 Oak St, Boston, MN 55169",(950) 259-1534
PRV000137,Dr. Michael Thomas MD,Psychiatry,In-Network,2025-10-03 04:57:54.940947,True,"355 Oak St, Denver, MN 55439",(715) 480-7498
PRV000138,Dr. Robert Thompson MD,Orthopedics,In-Network,2025-09-06 07:05:16.940947,True,"3530 Oak St, Dallas, MN 55522",(791) 739-2326
PRV000139,Dr. Sarah Thompson MD,Neurology,Pending Verification,2025-07-28 08:36:09.940947,False,"2896 Park St, Boston, MN 55064",(596) 319-7442
PRV000140,Dr. Michael Anderson MD,Cardiology,Pending Verification,2025-08-26 14:03:35.940947,True,"581 Park St, Atlanta, MN 55842",(791) 740-5632
PRV000141,Dr. Michael Thomas MD,Orthopedics,Pending Verification,2025-07-20 09:16:50.940947,True,"1655 Cedar St, Chicago, MN 55548",(331) 739-9152
PRV000142,Dr. William Harris MD,Endocrinology,In-Network,2025-06-12 16:49:14.940947,False,"9803 Oak St, Seattle, MN 55856",(899) 341-6178
PRV000143,Dr. Linda Martin MD,Oncology,In-Network,2025-09-06 14:30:49.940947,True,"7431 Park St, Minneapolis, MN 55936",(410) 945-9258
PRV000144,Dr. James Martin MD,Neurology,In-Network,2025-09-07 12:52:48.940947,True,"9015 Cedar St, Minneapolis, MN 55959",(853) 793-3210
PRV000145,Dr. James White MD,Dermatology,In-Network,2025-06-26 09:47:59.940947,True,"7060 Park St, Chicago, MN 55604",(272) 354-6724
PRV000146,Dr. Robert Jackson MD,Internal Medicine,In-Network,2025-09-11 01:59:09.940947,True,"6311 Main St, Atlanta, MN 55926",(902) 241-8559
PRV000147,Dr. James Anderson MD,Endocrinology,Out-of-Network,2025-09-30 18:13:16.940947,True,"224 Oak St, Seattle, MN 55652",(306) 255-1268
PRV000148,Dr. Sarah Jackson MD,Cardiology,Out-of-Network,2025-06-28 10:38:48.940947,True,"518 Cedar St, Chicago, MN 55084",(676) 960-6997
PRV000149,Dr. Jennifer Garcia MD,Neurology,Out-of-Network,2025-10-30 15:55:24.940947,True,"8030 Maple St, Denver, MN 55838",(277) 490-1751
PRV000150,Dr. Linda Martin MD,Psychiatry,Out-of-Network,2025-07-30 20:32:40.940947,False,"3918 Maple St, Dallas, MN 55259",(606) 774-3319
PRV000151,Dr. Robert Garcia MD,Oncology,Pending Verification,2025-10-09 13:48:47.940947,True,"1180 Maple St, Minneapolis, MN 55766",(894) 873-9003
PRV000152,Dr. Michael Jackson MD,Internal Medicine,In-Network,2025-06-10 17:37:50.940947,True,"7835 Park St, Minneapolis, MN 55040",(914) 931-3794
PRV000153,Dr. William Thomas MD,Oncology,Pending Verification,2025-08-01 16:43:20.940947,False,"7481 Park St, Phoenix, MN 55617",(607) 382-3496
PRV000154,Dr. James Thomas MD,Internal Medicine,In-Network,2025-10-16 10:35:18.940947,False,"3868 Cedar St, Chicago, MN 55039",(348) 490-4850
PRV000155,Dr. James White MD,Neurology,Out-of-Network,2025-05-30 06:53:54.940947,False,"6501 Oak St, Denver, MN 55995",(792) 588-7398
PRV000156,Dr. Linda Martin MD,Oncology,Out-of-Network,2025-06-07 09:19:18.940947,True,"4815 Cedar St, Dallas, MN 55672",(267) 880-1255
PRV000157,Dr. Patricia White MD,Endocrinology,In-Network,2025-05-28 23:49:54.940947,True,"594 Maple St, Phoenix, MN 55086",(799) 420-6643
PRV000158,Dr. Linda Jackson MD,Internal Medicine,In-Network,2025-09-07 12:07:33.940947,False,"2883 Cedar St, Chicago, MN 55008",(379) 962-4755
PRV000159,Dr. Linda Harris MD,Pediatrics,Pending Verification,2025-08-08 18:43:14.940947,True,"6742 Oak St, Chicago, MN 55365",(510) 697-6408
PRV000160,Dr. William Garcia MD,Orthopedics,In-Network,2025-07-07 04:25:00.940947,True,"2381 Maple St, Denver, MN 55052",(431) 770-8812
PRV000161,Dr. Jennifer Thomas MD,Psychiatry,Out-of-Network,2025-09-23 20:12:59.940947,True,"2156 Cedar St, Chicago, MN 55407",(452) 251-3948
PRV000162,Dr. Linda Garcia MD,Cardiology,Out-of-Network,2025-05-26 15:36:50.940947,True,"5748 Main St, Minneapolis, MN 55963",(826) 788-3576
PRV000163,Dr. James White MD,Dermatology,In-Network,2025-06-15 09:42:45.940947,True,"9101 Oak St, Atlanta, MN 55614",(621) 323-2919
PRV000164,Dr. James Harris MD,Primary Care,In-Network,2025-10-17 23:22:34.940947,False,"4079 Maple St, Minneapolis, MN 55959",(476) 555-4911
PRV000165,Dr. Michael Garcia MD,Endocrinology,In-Network,2025-07-03 10:46:50.940947,False,"7605 Oak St, Phoenix, MN 55897",(885) 846-5892
PRV000166,Dr. Michael Garcia MD,Pediatrics,Out-of-Network,2025-08-17 09:42:06.940947,True,"8479 Cedar St, Seattle, MN 55254",(715) 623-8858
PRV000167,Dr. William Harris MD,Cardiology,Pending Verification,2025-10-18 21:19:18.940947,False,"2562 Park St, Chicago, MN 55625",(454) 727-3155
PRV000168,Dr. Michael Martin MD,Cardiology,Out-of-Network,2025-05-21 18:38:23.940947,True,"5428 Main St, Seattle, MN 55945",(764) 341-4665
PRV000169,Dr. Michael White MD,Neurology,In-Network,2025-10-02 20:55:53.940947,True,"8871 Park St, Atlanta, MN 55347",(355) 582-3764
PRV000170,Dr. Patricia White MD,Neurology,In-Network,2025-08-26 02:48:14.940947,False,"4028 Oak St, Dallas, MN 55189",(345) 870-7007
PRV000171,Dr. Michael Thomas MD,Pediatrics,In-Network,2025-10-04 06:26:07.940947,False,"815 Maple St, Seattle, MN 55057",(758) 733-9224
PRV000172,Dr. Michael Jackson MD,Oncology,In-Network,2025-09-07 09:40:36.940947,True,"8369 Oak St, Chicago, MN 55355",(437) 812-1833
PRV000173,Dr. William Harris MD,Cardiology,In-Network,2025-06-13 17:10:58.940947,False,"5395 Oak St, Phoenix, MN 55387",(537) 776-2108
PRV000174,Dr. Jennifer Thomas MD,Neurology,Out-of-Network,2025-07-14 09:49:19.940947,False,"7410 Main St, Minneapolis, MN 55000",(815) 586-1444
PRV000175,Dr. Michael White MD,Orthopedics,Out-of-Network,2025-09-24 18:07:34.940947,False,"4335 Oak St, Atlanta, MN 55010",(576) 932-3776
PRV000176,Dr. James Jackson MD,Oncology,Out-of-Network,2025-06-10 22:32:36.940947,True,"9504 Maple St, Minneapolis, MN 55467",(249) 298-5236
